Name,Level,Score,Combo,Perfect,Great,Good,Bad,Miss,Timestamp,FName
独りんぼエンヴィー,EXPERT,927481,544,542,2,0,0,0,2021/07/09 06:47:35,IMG_0151.PNG
幽霊東京,MASTER,199926,1053,1006,47,0,0,0,2021/07/15 05:19:16,IMG_0165.PNG
六兆年と一夜物語,EXPERT,1289810,426,1046,48,0,1,4,2021/07/13 06:16:34,IMG_0155.PNG
独りんぼエンヴィー,EXPERT,1116267,296,537,6,1,0,0,2021/07/09 06:43:19,IMG_0149.PNG
独りんぼエンヴィー,EXPERT,1149892,544,541,3,0,0,0,2021/07/09 06:51:15,IMG_0153.PNG
Nostalogic,MASTER,945093,394,933,45,3,0,4,2021/07/31 11:48:07,IMG_0185.PNG
花を唄う,EXPERT,717262,807,791,16,0,0,0,2021/07/31 11:42:31,IMG_0183.PNG
六兆年と一夜物語,EXPERT,199684,394,1029,67,1,1,1,2021/07/23 12:57:49,IMG_0178.PNG
メルティランドナイトメア,EXPERT,73588,550,925,8,1,0,0,2021/07/31 11:38:28,IMG_0181.PNG
みくみくにしてあげる♪【してやんよ】,MASTER,149046,635,871,6,1,0,0,2021/08/12 09:27:37,IMG_0207.PNG
RAD DOGS,MASTER,200233,464,1089,87,10,1,10,2021/08/13 06:14:02,IMG_0210.PNG
ミラクルペイント,MASTER,201480,484,1354,72,2,0,9,2021/08/13 06:19:49,IMG_0211.PNG
RAD DOGS,MASTER,204753,279,109,92,4,0,6,2021/08/22 10:05:35,IMG_0215.PNG
カゲロウデイズ,EXPERT,1467862,1295,1228,67,0,0,0,2021/08/15 06:30:36,IMG_0212.PNG
ミラクルペイント,MASTER,203603,340,1353,72,5,0,7,2021/08/22 10:08:55,IMG_0216.PNG
限りなく灰色へ,EXPERT,1426116,818,804,14,0,0,0,2021/08/26 01:13:22,IMG_0217.PNG
Glory Steady Go!,MASTER,1269897,209,794,65,5,1,10,2021/08/26 01:26:26,IMG_0218.PNG
ロキ,MASTER,134366,841,821,20,0,0,0,2021/08/26 08:24:46,IMG_0221.PNG
夜咄ディセイブ,EXPERT,1248150,788,1139,24,1,1,0,2021/08/27 05:27:50,IMG_0222.PNG
トラフィック・ジャム,EXPERT,144495,896,888,8,0,0,0,2021/08/28 08:09:37,IMG_0223.PNG
携帯恋話,EXPERT,1348122,981,975,6,0,0,0,2021/08/29 07:19:31,IMG_0225.PNG
夜咄ディセイブ,EXPERT,1349961,749,1150,14,0,0,1,2021/08/29 07:40:22,IMG_0227.PNG
メルト,MASTER,1262780,560,1508,71,2,1,4,2021/08/29 05:19:22,IMG_0232.PNG
ビバハピ,EXPERT,1662409,597,588,9,0,0,0,2021/08/29 05:22:33,IMG_0233.PNG
ビバハピ,EXPERT,1614528,574,582,14,0,0,1,2021/08/29 05:25:40,IMG_0234.PNG
ぼうけんのしょがきえました！,EXPERT,1516768,460,906,43,0,0,2,2021/08/29 05:31:52,IMG_0235.PNG
ミラクルペイント,MASTER,201480,484,1354,72,2,0,9,2021/08/13 06:19:49,result_offline.png
Nostalogic,MASTER,945093,394,933,45,3,0,4,2021/07/31 11:48:07,result_online.png
